Pohorska - Pošta;46.537233;15.603547
Vzpenjača;46.533221;15.599686
Lackova - Mlada Lipa;46.540574;15.606969
Lackova - Na gorco;46.546109;15.599404
Pekre - samopostrežna;46.547527;15.593973
Bezjakova;46.541783;15.590336
Lesjakova 1;46.538239;15.588906
Lesjakova 2;46.537262;15.591816
Zvezna ulica;46.537056;15.596948
Ob ribniku;46.539170;15.599461
Radvanje - bencinska;46.536251;15.620385
Radvanje - bencinska;46.536224;15.620682
Ul.Poh. odreda - OŠ L.Pliberška;46.537644;15.620457
Ul.Poh. odreda - OŠ L.Pliberška;46.537643;15.620659
Ul.Poh. odreda - OŠ G.Šiliha;46.540425;15.621986
Ul.Poh. odreda - OŠ G.Šiliha;46.540432;15.622139
Nova vas 2;46.543159;15.624149
Nova vas 2;46.543812;15.624338
Prol. brigad - vojašnica;46.544819;15.624193
Prol. brigad - vojašnica;46.544607;15.625679
Radvanjska - Borštnikova;46.535775;15.625033
Radvanjska - Borštnikova;46.536279;15.625321
Radvanjska - Antoličičeva;46.537936;15.626869
Radvanjska - Antoličičeva;46.538366;15.627125
Radvanjska - trgovina;46.542801;15.631095
Radvanjska - trgovina;46.541651;15.629961
Kardeljeva - Borštnikova;46.533681;15.629585
Kardeljeva - Borštnikova;46.534392;15.630204
OŠ Tabor 1;46.536735;15.631356
OŠ Tabor 1;46.536681;15.631055
Kardeljeva - igrišče;46.543928;15.634391
Prol. brigad - Kardeljeva;46.543219;15.632911
Prol. brigad - Delo;46.542598;15.634665
Prol. brigad - lekarna;46.543982;15.629472
Prol. brigad - lekarna;46.544323;15.628793
Betnavska - Goriška;46.540409;15.637128
Betnavska - Goriška;46.540358;15.637294
Betnavska - Knafelčeva;46.538211;15.635715
Betnavska - Knafelčeva;46.537849;15.635186
Kardeljeva - Knafelčeva;46.538595;15.631963
Kardeljeva - Knafelčeva;46.538949;15.632643
Ljubljanska 140;46.533502;15.634789
Ljubljanska 140;46.534075;15.635127
Ljubljanska - stolpnica;46.536635;15.637329
Ljubljanska - stolpnica;46.537296;15.638018
Ljubljanska - trgovski center;46.539467;15.639381
Ljubljanska - trgovski center;46.540333;15.639733
Prol. brigad - Ljubljanska;46.541427;15.639756
Prol. brigad - Ljubljanska;46.540904;15.641137
Na Poljanah - Planet TUŠ;46.551745;15.628734
Na Poljanah - Planet TUŠ;46.551892;15.628447
Engelsova - Šarhova;46.549346;15.629735
Engelsova - Šarhova;46.548919;15.628775
Engelsova - vojašnica;46.546828;15.624751
Engelsova - vojašnica;46.547295;15.625758
Radvanjska - vojašnica;46.545895;15.634183
Radvanjska - vojašnica;46.546526;15.635159
Dvorana Tabor;46.549492;15.637156
Koresova - Dvorana tabor;46.549854;15.636699
Koresova - Dvorana tabor;46.549942;15.636722
Gorkega;46.551126;15.639843
Gorkega - Preradovičeva;46.550584;15.639119
Betnavska - Metelkova;46.543233;15.638539
Betnavska - Metelkova;46.542351;15.638437
Betnavska - Focheva;46.546179;15.639123
Betnavska - Focheva;46.546786;15.639532
Betnavska - Žolgarjeva;46.550416;15.640798
Betnavska - Žolgarjeva;46.550335;15.641006
Valvasorjeva - OŠ Maks Durjava;46.553481;15.639959
Valvasorjeva - OŠ Maks Durjava;46.553781;15.639109
ŽP Studenci;46.554505;15.635999
ŽP Studenci;46.554546;15.635401
Valvasorjeva - transformator;46.556902;15.626748
Valvasorjeva - transformator;46.556541;15.628123
Valvasorjeva - Korenčanova;46.556141;15.630354
Valvasorjeva - Korenčanova;46.555811;15.631387
Tabor;46.553496;15.644225
Magdalena;46.554578;15.646762
Magdalena;46.554476;15.647181
Ljubljanska - UKC;46.553028;15.646453
Magdalenski park;46.552755;15.645782
Ljubljanska - Pariške komune;46.548748;15.645491
Ljubljanska - Pariške komune;46.549561;15.645558
Ljubljanska - Focheva;46.545020;15.643234
Ljubljanska - Focheva;46.545074;15.643485
Prol.brigad - Ferkova;46.541641;15.640899
Titova - Nasipna;46.543712;15.649091
Titova - Nasipna;46.544594;15.648782
Titova - Prol. brigad;46.541329;15.648398
Pariške komune;46.548834;15.641523
Pariške komune;46.548436;15.643077
Prol. brigad - Titova;46.539799;15.646367
Betnavski grad;46.529618;15.637662
Betnavski grad;46.529503;15.637461
Razvanje - vrtnarstvo;46.521622;15.635317
Razvanje - GD;46.518901;15.634317
Razvanje - GD;46.517971;15.634457
Razvanje - obračališče;46.515413;15.6356531
E'Leclerc - obračališče;46.521225;15.651598
Tržaška cesta - Rutar;46.521951;15.648881
Tržaška cesta - Carinarnica;46.526461;15.648079
Tržaška cesta - Carinarnica;46.526525;15.648251
Tržaška cesta - Semenarna;46.530275;15.646328
Tržaška cesta - Semenarna;46.530925;15.645941
Pobreška - Europark;46.554730;15.654307
Pobreška - Europark;46.554732;15.653071
Europark;46.554487;15.651496
Meljski hrib - most;46.558419;15.681445
Meljski hrib - most;46.558068;15.682489
Kovačič;46.556493;15.691105
Kovačič;46.556431;15.691654
Lorber;46.555131;15.697163
Lorber;46.555402;15.696661
Malečnik - odcep Trčova;46.553079;15.705175
Malečnik - odcep Trčova;46.552864;15.705389
Celestrina;46.555618;15.710577
Celestrina;46.556035;15.711244
Nebova I;46.556982;15.720101
Nebova I;46.557287;15.719664
Nebova II;46.557705;15.725053
Nebova II;46.557634;15.724085
Malečnik - odcep Trčova;46.552997;15.705808
Ruperče;46.560819;15.729387
Ruperče;46.560761;15.729293
Kronaveter;46.556601;15.733079
Knezar;46.554317;15.736326
Metava - odcep;46.550199;15.740111
Zimica - odcep;46.551326;15.743461
Grušova 1;46.557164;15.745885
Grušova 1;46.557053;15.745686
Grušova - obračališče;46.559594;15.747312
Malečnik - trgovina;46.552428;15.708238
Trčova 31a;46.547680;15.714955
Trčova 31a;46.547793;15.714933
Trčova - Griček;46.539405;15.720482
Novak;46.537613;15.724272
Metava - Duplek križišče;46.534851;15.731278
Metava - obračališče;46.539722;15.732907
Greenwich;46.554504;15.659352
Greenwich;46.554659;15.659808
Nasipna - Snaga;46.551359;15.656685
Nasipna - Snaga;46.550584;15.656246
Belokranjska ul. - avtohiša;46.542973;15.654071
Ob gozdu;46.547933;15.656879
Ob gozdu;46.547051;15.656968
Ulica heroja Vojka - transformator;46.544808;15.653853
Nasipna - Cizerl;46.545437;15.652773
Črnogorska št. 23;46.545622;15.656589
Makedonska;46.542602;15.657619
Belokranjska;46.542948;15.654222
ŽP Tezno;46.539888;15.650973
ŽP Tezno;46.539447;15.651313
Zagrebška - Kovinar;46.534441;15.658472
Zagrebška - Kovinar;46.534721;15.658095
Zagrebška - Šerbinek;46.531882;15.664025
Zagrebška - Šerbinek;46.531271;15.665202
Kavčičeva;46.526876;15.672361
Kavčičeva;46.527143;15.672036
Perhavčeva ul. - šola;46.525953;15.670998
Poštni center - obračališče;46.521946;15.671974
Ptujska - Tržaška;46.539701;15.648591
Ptujska - hitra cesta;46.538628;15.654733
Ptujska - Kovinar;46.536101;15.659813
Ptujska - Autocommerce;46.533582;15.664617
Ptujska - Pošta;46.532011;15.667669
Ptujska - TAM;46.528505;15.672507
Pokopališče Dobrava - K;46.518447;15.683862
Ptujska - TAM;46.529611;15.671695
Ptujska - Pošta;46.531681;15.668748
Ptujska - Autocommerce;46.533447;15.665435
Ptujska - Kovinar;46.536927;15.658624
Ptujska - hitra cesta;46.539627;15.654032
Tezno - dom star. občanov;46.525556;15.678967
Tezno - dom star. občanov;46.525041;15.678189
Pokopališče Dobrava - vhod;46.519089;15.691251
Pokopališče Dobrava - vhod;46.519089;15.692238
Pokopališče Dobrava - obračališče;46.519569;15.696044
Pokopališče Dobrava - K;46.518383;15.686697
Dupleška - kanal;46.525898;15.700396
Dupleška - kanal;46.526052;15.701311
Dupleška - kanal;46.526891;15.700068
Dogoše - GD;46.523351;15.703928
Dogoše - GD;46.523742;15.703949
Dupleška cesta 239;46.523932;15.704634
Dupleška cesta 245;46.523413;15.705232
Dupleška cesta 255;46.521559;15.705513
Dogoše - polje;46.517439;15.708728
Dogoše - polje;46.516745;15.709547
Dogoše - obračališče;46.514680;15.712493
Zg. Duplek - obračališče;46.515357;15.717538
Svenškova ulica 40;46.527311;15.706298
Svenškova ulica 40;46.528356;15.706277
Dupleška - Jarčeva;46.532164;15.694953
Dupleška - Jarčeva;46.532254;15.694671
Brezje;46.536185;15.688982
Brezje;46.536515;15.688387
Dupleška - Tezenska;46.541026;15.683486
Dupleška - Tezenska;46.541218;15.683419
Cesta XIV.divizije - vrtnarstvo;46.544261;15.677811
Cesta XIV.divizije - vrtnarstvo;46.544875;15.676494
Cesta XIV.divizije - OŠ D.Kobala;46.546161;15.672361
Cesta XIV.divizije - OŠ D.Kobala;46.546369;15.672098
Pokopališče Pobrežje;46.550152;15.665808
Pokopališče Pobrežje;46.550902;15.664378
Osojnikova;46.551776;15.664403
Osojnikova - TVD Partizan;46.554105;15.665806
Čufarjeva - TVD Partizan;46.555136;15.665524
Čufarjeva - TVD Partizan;46.554756;15.666739
